,Start values,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Serie19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465107.6583743213,499481.15578786633,565460.2930711329,757506.0385147666,771121.440881833,755539.4015500738,675423.3612227251,614594.2197888088,490218.2395488188,467893.6018709442,627844.1267549827,797399.8654612425,708201.2856422851,544056.959069036,540774.7082925156,769649.0071388781,853708.6907572688,1164762.5670638615,1426721.8385915789,1577322.8262504544,1190377.085345456,1044483.7527512967,716650.4073006619,995155.5298517423,1082665.019234873,1247013.1906577842,1540238.0513727437,1822116.8370402185,2123925.219114375,2151248.398998432
Serie20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473754.337034432,536335.081231743,718489.1099846775,731403.2226536369,716623.7687588893,640634.2721957259,582938.2625696132,464968.52661699307,443793.76596775,595505.7054406584,756328.1221631889,671723.9012494165,516034.1705907889,512920.9789866764,730006.6296818351,809736.6439626305,1104769.041569651,1353235.5544191261,1496079.524083045,1129064.230660042,990685.4384674401,679737.8332734859,943897.9685778047,1026900.0991817754,1182783.175235901,1460904.8778873384,1728264.9087524093,2014528.020591813,2040443.8631048817
Serie21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480393.17306344875,643547.8032956319,655114.9220231493,641877.0246692469,573813.5385186946,522135.45497112296,416470.4374048951,397504.2895374322,533392.0629562837,677440.0541703557,601660.3941004102,462209.7291304357,459421.25594382366,653863.9993207576,725277.8521322908,989537.182917542,1212087.638191966,1340032.4067538772,1011298.2859774152,887352.9589005011,608838.4407516118,845445.6104789259,919790.284708131,1059414.128370477,1308526.6177636571,1547999.9210624895,1804404.637889372,1827617.3536954566
Serie22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486779.23429548804,495528.59707530215,485515.4581839638,434032.2715392767,394942.9951711168,315018.0291013012,300672.0444064899,403457.48778179823,512415.31578758766,455095.6190764563,349615.20632629824,347506.00661233556,494582.39977322944,548599.8020728992,748485.4267869192,916822.4790708666,1013599.8375728114,764945.5141816143,671193.3312046367,460525.0899482637,639494.6339648336,695728.9081087472,801340.3131345949,989768.8746482292,1170906.360654792,1364850.759326611,1382408.8458714483
Serie23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488033.17912847525,478171.5000345999,427467.05351392186,388969.04567263945,310253.0330892928,296124.047275638,397354.7471679365,504664.46754824877,448211.7946294294,344326.88975395827,342249.59401785437,487101.29410682607,540301.6234685713,737163.7570911852,902954.5253256304,998268.019271537,753374.8674637817,661040.7899180292,453559.1387508242,629821.5705238733,685205.239091978,789219.154840128,974797.5260115701,1153195.107254876,1344205.8824485117,1361498.3835200244
Serie24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488692.77654682816,436872.67277304124,397527.5877102206,317079.57534380554,302639.7074165742,406097.8010055196,515768.6726474387,458073.8634206414,351903.1639932945,349780.1612193691,497819.05416653526,552189.9580516806,753383.6776062893,922822.3640367021,1020233.0545430034,769951.4833795694,675585.7658023845,463538.86592632526,643679.6254191733,700281.9088382769,806584.4577831498,996246.1366332016,1178569.0255981882,1373782.6384399936,1391455.6289077755
Serie25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1182228.370328989,1075755.984452753,858054.2867190463,818978.3211315966,1082268.7243213498,1374546.4811898167,1220787.2452933365,937837.6032489109,932179.7063133012,1326709.9485927878,1471610.8287312035,2007801.051048793,2459362.6959522474,2718966.52411502,2051954.9912441205,1800466.1515383853,1235351.720342437,1715434.8665497564,1866282.4725155819,2149583.4993958324,2655040.3196825823,3140938.938109322,3661191.9097268437,3708291.2163499054
Serie26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1186998.334437651,946784.42315217,903667.6692235909,1181806.9675693724,1500966.0467983307,1333065.2914433712,1024092.2508992617,1017913.9867860806,1448729.900398574,1606957.5807391433,2192462.203054503,2685554.802185672,2969034.871447426,2240677.0622625984,1966058.331857592,1348969.2880250062,1873206.5633433051,2037927.9008127584,2347284.6437017145,2899229.256528735,3429816.8637324236,3997918.4571160823,4049349.573514391
Serie27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1184170.1702109352,1128572.122073104,1417625.0195587524,1800469.1796882674,1599065.4664545055,1228439.8696657817,1221028.793217061,1737809.8198319532,1927610.2902919215,2629946.6484610313,3221431.0656880494,3561476.8174559847,2687782.3124937764,2358366.0933101266,1618142.9504123752,2246986.6601469824,2444576.533671036,2815662.396864549,3477742.1730258986,4114203.361426878,4795664.086005482,4857357.779976533
Serie28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190876.4667120092,1495886.9188736835,1899866.5067079742,1687344.030113461,1296257.5478725014,1288437.332962733,1833747.9524634713,2034026.6136326354,2775136.3967835885,3399274.508230662,3758092.9439031286,2836164.956577127,2488562.8711575097,1707474.7122782564,2371034.58631377,2579532.6750386264,2971104.8333114153,3669735.615603088,4341333.501478554,5060415.183558776,5125514.761031679
Serie29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208960.560726846,1535452.7459771042,1363694.2465684623,1047622.1378433473,1041301.9198622736,1482016.4043624126,1643879.5769416634,2242836.9497843534,2747259.009811583,3037252.4121981347,2292159.6097644945,2011231.1473275507,1379963.6587083114,1916245.985445839,2084752.0155975493,2401216.6427412448,2965842.920064616,3508621.4860422555,4089775.9721251163,4142388.7870991123
Serie30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1219931.1737013173,1083467.4835449508,832345.3180588959,827323.8473819896,1177475.514212538,1306077.2771915526,1781954.3582436685,2182722.273337182,2413124.6694160905,1821141.6602542908,1597941.4414232532,1096393.6794824013,1522474.8662895272,1656354.4400356482,1907788.4649757522,2356389.1783499536,2787631.686325444,3249364.2119055064,3291165.571987163
Serie31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1218812.3336542712,936320.4294699824,930671.68551869,1291698.8028265233,1432775.8284430315,1954816.2857332923,2394461.467216134,2647214.4931527474,1997805.0277344156,1752952.840173232,1202751.4679667086,1670165.484022694,1817032.304643114,2092857.1732580578,2584975.266091695,3058051.28725412,3564575.06912376,3610431.450952733
Serie32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1213295.075534517,1197976.6407542126,1579947.4201019134,1752506.4425076877,2391042.6646360457,2928796.720553787,3237952.7640351835,2443624.5450786673,2144132.448935913,1471151.0722774905,2042870.7078234472,2222511.545014009,2559888.0205627414,3161824.562933604,3740469.7064547543,4360026.634613247,4416116.082096945
Serie33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216102.8124959664,1603853.0600830722,1779023.013594938,2427220.7072678013,2973111.3345015342,3286945.1115450948,2480598.186024265,2176574.578176438,1493410.5522097351,2073780.6805528756,2256139.601348723,2598620.8040927816,3209665.040865583,3797065.4646586366,4425996.6952046305,4482934.812790401
Serie34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227042.4087086874,1361057.778969262,1856967.3352490438,2274605.937439747,2514707.3303302717,1897804.2621061318,1665208.2286150206,1142547.3609655309,1586564.8198890134,1726080.1751244008,1988098.5422750374,2455583.507561337,2904979.5581260943,3386149.13110512,3429710.1571670487
Serie35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230291.5790935315,1678555.6869883984,2056068.8707187264,2273102.068255384,1715469.1288750328,1505220.1991408502,1032774.9627028696,1434132.604622938,1560243.7582804465,1797088.2153301612,2219658.678562167,2625878.153760654,3060818.450123704,3100194.2682328005
Serie36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236013.9183584733,1513997.873893295,1673811.4892416466,1263195.338849953,1108377.3572447835,760489.6509112495,1056031.6073075817,1148894.2644057146,1323296.012091984,1634458.1487375922,1933580.1434057825,2253850.8762309873,2282845.481299417
Serie37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246323.2343529011,272324.4641465771,205518.36092403866,180329.90681682967,123729.54660937013,171813.3991971707,186921.89468547323,215296.5729513082,265921.78532997996,314588.1001665309,366695.25575665716,371412.59718916164
Serie38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246686.36413170217,186169.74930085518,163352.67268866667,112080.97694925044,155637.9552233169,169324.05511591968,195027.38748725646,240886.46817700265,284971.0725489979,332172.57828979124,336445.8036498383
Serie39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245656.77068368543,215548.92889928052,147894.33275720145,205369.11941684847,223428.3536130439,246441.84698760704,295784.66547990433,349916.1825205508,407874.94496722135,413122.04142393474
Serie40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245098.59650899292,168169.2113968331,233405.09919269127,246448.7208509338,271426.32011316495,325771.5533236983,385390.9672019939,449225.63571104786,455004.68703667825
Serie41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242994.10939829954,307564.6306285018,324752.58706669137,357666.2899705541,429278.57109307754,507840.79218931636,591957.5758807962,599572.7984808958
